art_id,ann,criteriaID,annotation
119,gpt4-o,NegTarg1,1
119,gpt4-o,ArtBias,3
119,gpt4-o,Type,1
119,gpt4-o,HeadAcc1,4
119,gpt4-o,SensLang,3
119,gpt4-o,NegTarg2,['4']
120,gpt4-o,ArtBias,4
120,gpt4-o,HeadAcc1,4
120,gpt4-o,NegTarg1,1
120,gpt4-o,LedePres,2
120,gpt4-o,NegTarg2,['-1']
120,gpt4-o,SensLang,4
120,gpt4-o,Type,1
121,gpt4-o,NegTarg2,['4']
121,gpt4-o,NegTarg1,1
121,gpt4-o,SensLang,3
121,gpt4-o,Type,1
121,gpt4-o,LedePres,2
121,gpt4-o,ArtBias,4
121,gpt4-o,HeadAcc1,4
122,gpt4-o,LedePres,1
122,gpt4-o,NegTarg2,['2']
122,gpt4-o,SensLang,2
122,gpt4-o,NegTarg1,2
122,gpt4-o,ArtBias,3
122,gpt4-o,HeadAcc1,4
122,gpt4-o,Type,5
123,gpt4-o,LedePres,2
123,gpt4-o,NegTarg2,['-1']
123,gpt4-o,SensLang,4
123,gpt4-o,NegTarg1,1
123,gpt4-o,Type,1
123,gpt4-o,HeadAcc1,4
123,gpt4-o,ArtBias,4
124,gpt4-o,LedePres,1
124,gpt4-o,NegTarg1,1
124,gpt4-o,NegTarg2,['1']
124,gpt4-o,SensLang,3
124,gpt4-o,ArtBias,2
124,gpt4-o,HeadAcc1,4
124,gpt4-o,Type,1
125,gpt4-o,SensLang,3
125,gpt4-o,Type,1
125,gpt4-o,HeadAcc1,3
125,gpt4-o,ArtBias,3
125,gpt4-o,NegTarg1,1
125,gpt4-o,NegTarg2,['1']
125,gpt4-o,LedePres,1
126,gpt4-o,NegTarg2,['2']
126,gpt4-o,SensLang,2
126,gpt4-o,Type,5
126,gpt4-o,NegTarg1,1
126,gpt4-o,HeadAcc1,4
126,gpt4-o,LedePres,2
126,gpt4-o,ArtBias,3
127,gpt4-o,Type,1
127,gpt4-o,HeadAcc1,2
127,gpt4-o,NegTarg2,['-1']
127,gpt4-o,LedePres,2
127,gpt4-o,NegTarg1,1
127,gpt4-o,ArtBias,4
127,gpt4-o,SensLang,4
128,gpt4-o,LedePres,1
128,gpt4-o,HeadAcc1,4
128,gpt4-o,ArtBias,2
128,gpt4-o,Type,2
128,gpt4-o,NegTarg1,1
128,gpt4-o,NegTarg2,['2']
128,gpt4-o,SensLang,2
129,gpt4-o,Type,1
129,gpt4-o,ArtBias,2
129,gpt4-o,SensLang,1
129,gpt4-o,HeadAcc1,4
129,gpt4-o,LedePres,1
129,gpt4-o,NegTarg2,['4']
129,gpt4-o,NegTarg1,2
130,gpt4-o,ArtBias,2
130,gpt4-o,Type,3
130,gpt4-o,NegTarg1,2
130,gpt4-o,NegTarg2,['4']
130,gpt4-o,SensLang,2
130,gpt4-o,LedePres,1
130,gpt4-o,HeadAcc1,3
131,gpt4-o,NegTarg2,['3']
131,gpt4-o,NegTarg1,2
131,gpt4-o,HeadAcc1,4
131,gpt4-o,ArtBias,3
131,gpt4-o,Type,1
131,gpt4-o,LedePres,2
131,gpt4-o,SensLang,3
132,gpt4-o,NegTarg1,1
132,gpt4-o,LedePres,2
132,gpt4-o,ArtBias,3
132,gpt4-o,HeadAcc1,3
132,gpt4-o,SensLang,3
132,gpt4-o,NegTarg2,['3']
132,gpt4-o,Type,1
133,gpt4-o,NegTarg2,['-1']
133,gpt4-o,HeadAcc1,3
133,gpt4-o,LedePres,2
133,gpt4-o,ArtBias,3
133,gpt4-o,SensLang,4
133,gpt4-o,Type,1
133,gpt4-o,NegTarg1,1
134,gpt4-o,HeadAcc1,3
134,gpt4-o,ArtBias,3
134,gpt4-o,Type,2
134,gpt4-o,NegTarg2,['-1']
134,gpt4-o,SensLang,4
134,gpt4-o,NegTarg1,1
134,gpt4-o,LedePres,1
135,gpt4-o,NegTarg2,['-1']
135,gpt4-o,LedePres,2
135,gpt4-o,Type,1
135,gpt4-o,HeadAcc1,4
135,gpt4-o,NegTarg1,1
135,gpt4-o,SensLang,3
135,gpt4-o,ArtBias,4
136,gpt4-o,NegTarg2,['1']
136,gpt4-o,ArtBias,2
136,gpt4-o,HeadAcc1,4
136,gpt4-o,LedePres,1
136,gpt4-o,NegTarg1,1
136,gpt4-o,Type,1
136,gpt4-o,SensLang,3
137,gpt4-o,LedePres,1
137,gpt4-o,HeadAcc1,3
137,gpt4-o,NegTarg1,1
137,gpt4-o,ArtBias,3
137,gpt4-o,Type,1
137,gpt4-o,SensLang,3
137,gpt4-o,NegTarg2,['4']
138,gpt4-o,SensLang,3
138,gpt4-o,Type,1
138,gpt4-o,NegTarg1,1
138,gpt4-o,LedePres,2
138,gpt4-o,NegTarg2,['4']
138,gpt4-o,ArtBias,4
138,gpt4-o,HeadAcc1,4
139,gpt4-o,HeadAcc1,3
139,gpt4-o,SensLang,4
139,gpt4-o,ArtBias,3
139,gpt4-o,Type,1
139,gpt4-o,LedePres,1
139,gpt4-o,NegTarg2,['1']
139,gpt4-o,NegTarg1,1
140,gpt4-o,HeadAcc1,4
140,gpt4-o,NegTarg2,"['1', '2']"
140,gpt4-o,NegTarg1,2
140,gpt4-o,SensLang,2
140,gpt4-o,Type,1
140,gpt4-o,ArtBias,2
140,gpt4-o,LedePres,1
141,gpt4-o,Type,2
141,gpt4-o,SensLang,3
141,gpt4-o,LedePres,1
141,gpt4-o,ArtBias,2
141,gpt4-o,NegTarg2,['1']
141,gpt4-o,NegTarg1,1
141,gpt4-o,HeadAcc1,3
142,gpt4-o,Type,1
142,gpt4-o,SensLang,2
142,gpt4-o,NegTarg1,1
142,gpt4-o,NegTarg2,"['1', '2']"
142,gpt4-o,ArtBias,2
142,gpt4-o,HeadAcc1,3
142,gpt4-o,LedePres,1
143,gpt4-o,HeadAcc1,4
143,gpt4-o,ArtBias,4
143,gpt4-o,SensLang,3
143,gpt4-o,NegTarg1,1
143,gpt4-o,Type,1
143,gpt4-o,NegTarg2,['-1']
143,gpt4-o,LedePres,2
144,gpt4-o,NegTarg2,['-1']
144,gpt4-o,SensLang,4
144,gpt4-o,LedePres,1
144,gpt4-o,ArtBias,4
144,gpt4-o,Type,1
144,gpt4-o,NegTarg1,1
144,gpt4-o,HeadAcc1,4
145,gpt4-o,NegTarg2,['4']
145,gpt4-o,Type,1
145,gpt4-o,SensLang,4
145,gpt4-o,LedePres,2
145,gpt4-o,HeadAcc1,4
145,gpt4-o,NegTarg1,1
145,gpt4-o,ArtBias,4
146,gpt4-o,NegTarg2,['-1']
146,gpt4-o,SensLang,4
146,gpt4-o,HeadAcc1,4
146,gpt4-o,Type,1
146,gpt4-o,NegTarg1,1
146,gpt4-o,ArtBias,4
146,gpt4-o,LedePres,2
147,gpt4-o,NegTarg2,['4']
147,gpt4-o,SensLang,4
147,gpt4-o,HeadAcc1,4
147,gpt4-o,LedePres,2
147,gpt4-o,ArtBias,4
147,gpt4-o,Type,1
147,gpt4-o,NegTarg1,1
148,gpt4-o,SensLang,2
148,gpt4-o,HeadAcc1,3
148,gpt4-o,LedePres,1
148,gpt4-o,Type,1
148,gpt4-o,NegTarg1,1
148,gpt4-o,NegTarg2,['4']
148,gpt4-o,ArtBias,3
149,gpt4-o,ArtBias,3
149,gpt4-o,SensLang,3
149,gpt4-o,NegTarg1,1
149,gpt4-o,NegTarg2,['1']
149,gpt4-o,Type,1
149,gpt4-o,LedePres,2
149,gpt4-o,HeadAcc1,4
150,gpt4-o,NegTarg2,['4']
150,gpt4-o,ArtBias,3
150,gpt4-o,HeadAcc1,4
150,gpt4-o,LedePres,2
150,gpt4-o,NegTarg1,1
150,gpt4-o,SensLang,3
150,gpt4-o,Type,1
151,gpt4-o,LedePres,2
151,gpt4-o,Type,1
151,gpt4-o,SensLang,2
151,gpt4-o,ArtBias,3
151,gpt4-o,HeadAcc1,4
151,gpt4-o,NegTarg2,['-1']
151,gpt4-o,NegTarg1,1
152,gpt4-o,Type,1
152,gpt4-o,HeadAcc1,4
152,gpt4-o,LedePres,2
152,gpt4-o,SensLang,3
152,gpt4-o,NegTarg1,1
152,gpt4-o,NegTarg2,['4']
152,gpt4-o,ArtBias,4
153,gpt4-o,NegTarg2,['4']
153,gpt4-o,Type,1
153,gpt4-o,SensLang,4
153,gpt4-o,ArtBias,4
153,gpt4-o,LedePres,1
153,gpt4-o,HeadAcc1,4
153,gpt4-o,NegTarg1,1
154,gpt4-o,NegTarg1,1
154,gpt4-o,NegTarg2,['4']
154,gpt4-o,HeadAcc1,3
154,gpt4-o,ArtBias,2
154,gpt4-o,LedePres,1
154,gpt4-o,Type,2
154,gpt4-o,SensLang,3
155,gpt4-o,HeadAcc1,4
155,gpt4-o,LedePres,1
155,gpt4-o,SensLang,2
155,gpt4-o,NegTarg2,['4']
155,gpt4-o,NegTarg1,2
155,gpt4-o,ArtBias,3
155,gpt4-o,Type,1
157,gpt4-o,Type,1
157,gpt4-o,HeadAcc1,4
157,gpt4-o,ArtBias,4
157,gpt4-o,SensLang,4
157,gpt4-o,NegTarg1,1
157,gpt4-o,NegTarg2,['-1']
157,gpt4-o,LedePres,2
158,gpt4-o,NegTarg1,2
158,gpt4-o,Type,2
158,gpt4-o,SensLang,1
158,gpt4-o,ArtBias,1
158,gpt4-o,HeadAcc1,3
158,gpt4-o,NegTarg2,"['1', '4']"
158,gpt4-o,LedePres,1
159,gpt4-o,NegTarg1,2
159,gpt4-o,Type,1
159,gpt4-o,LedePres,1
159,gpt4-o,SensLang,3
159,gpt4-o,HeadAcc1,4
159,gpt4-o,ArtBias,3
159,gpt4-o,NegTarg2,['1']
160,gpt4-o,LedePres,2
160,gpt4-o,NegTarg1,1
160,gpt4-o,SensLang,4
160,gpt4-o,Type,1
160,gpt4-o,HeadAcc1,4
160,gpt4-o,ArtBias,3
160,gpt4-o,NegTarg2,['4']
161,gpt4-o,ArtBias,2
161,gpt4-o,SensLang,3
161,gpt4-o,NegTarg1,1
161,gpt4-o,LedePres,1
161,gpt4-o,HeadAcc1,3
161,gpt4-o,Type,2
161,gpt4-o,NegTarg2,['4']
162,gpt4-o,NegTarg2,['1']
162,gpt4-o,SensLang,3
162,gpt4-o,HeadAcc1,3
162,gpt4-o,ArtBias,2
162,gpt4-o,LedePres,1
162,gpt4-o,NegTarg1,1
162,gpt4-o,Type,1
163,gpt4-o,NegTarg1,1
163,gpt4-o,Type,1
163,gpt4-o,ArtBias,4
163,gpt4-o,HeadAcc1,4
163,gpt4-o,LedePres,2
163,gpt4-o,SensLang,3
163,gpt4-o,NegTarg2,['4']
164,gpt4-o,ArtBias,3
164,gpt4-o,HeadAcc1,4
164,gpt4-o,LedePres,2
164,gpt4-o,NegTarg1,1
164,gpt4-o,NegTarg2,['4']
164,gpt4-o,Type,1
164,gpt4-o,SensLang,2
165,gpt4-o,NegTarg2,['-1']
165,gpt4-o,NegTarg1,1
165,gpt4-o,ArtBias,3
165,gpt4-o,LedePres,2
165,gpt4-o,HeadAcc1,4
165,gpt4-o,SensLang,3
165,gpt4-o,Type,1
166,gpt4-o,LedePres,1
166,gpt4-o,NegTarg1,1
166,gpt4-o,SensLang,3
166,gpt4-o,Type,1
166,gpt4-o,HeadAcc1,4
166,gpt4-o,ArtBias,3
166,gpt4-o,NegTarg2,['-1']
168,gpt4-o,LedePres,2
168,gpt4-o,SensLang,4
168,gpt4-o,NegTarg2,['-1']
168,gpt4-o,NegTarg1,1
168,gpt4-o,ArtBias,4
168,gpt4-o,HeadAcc1,4
168,gpt4-o,Type,1
169,gpt4-o,NegTarg2,['1']
169,gpt4-o,LedePres,2
169,gpt4-o,ArtBias,2
169,gpt4-o,NegTarg1,2
169,gpt4-o,HeadAcc1,3
169,gpt4-o,SensLang,2
169,gpt4-o,Type,1
170,gpt4-o,HeadAcc1,3
170,gpt4-o,NegTarg1,1
170,gpt4-o,Type,1
170,gpt4-o,ArtBias,4
170,gpt4-o,NegTarg2,['-1']
170,gpt4-o,LedePres,1
170,gpt4-o,SensLang,4
171,gpt4-o,LedePres,1
171,gpt4-o,Type,1
171,gpt4-o,SensLang,4
171,gpt4-o,ArtBias,4
171,gpt4-o,HeadAcc1,4
171,gpt4-o,NegTarg2,['-1']
171,gpt4-o,NegTarg1,1
172,gpt4-o,SensLang,3
172,gpt4-o,NegTarg2,['4']
172,gpt4-o,LedePres,2
172,gpt4-o,NegTarg1,2
172,gpt4-o,HeadAcc1,3
172,gpt4-o,ArtBias,3
172,gpt4-o,Type,1
173,gpt4-o,NegTarg2,['1']
173,gpt4-o,ArtBias,3
173,gpt4-o,HeadAcc1,3
173,gpt4-o,LedePres,1
173,gpt4-o,NegTarg1,1
173,gpt4-o,Type,1
173,gpt4-o,SensLang,3
174,gpt4-o,Type,1
174,gpt4-o,NegTarg2,['4']
174,gpt4-o,SensLang,4
174,gpt4-o,LedePres,2
174,gpt4-o,HeadAcc1,4
174,gpt4-o,NegTarg1,1
174,gpt4-o,ArtBias,4
175,gpt4-o,Type,1
175,gpt4-o,HeadAcc1,4
175,gpt4-o,ArtBias,4
175,gpt4-o,SensLang,4
175,gpt4-o,NegTarg2,['1']
175,gpt4-o,NegTarg1,1
175,gpt4-o,LedePres,2
176,gpt4-o,Type,1
176,gpt4-o,SensLang,4
176,gpt4-o,NegTarg2,['-1']
176,gpt4-o,LedePres,1
176,gpt4-o,ArtBias,4
176,gpt4-o,NegTarg1,1
176,gpt4-o,HeadAcc1,3
177,gpt4-o,Type,1
177,gpt4-o,ArtBias,4
177,gpt4-o,HeadAcc1,4
177,gpt4-o,SensLang,4
177,gpt4-o,LedePres,2
177,gpt4-o,NegTarg1,1
177,gpt4-o,NegTarg2,['-1']
178,gpt4-o,NegTarg1,1
178,gpt4-o,SensLang,3
178,gpt4-o,Type,1
178,gpt4-o,LedePres,2
178,gpt4-o,HeadAcc1,2
178,gpt4-o,ArtBias,4
178,gpt4-o,NegTarg2,['-1']
179,gpt4-o,ArtBias,3
179,gpt4-o,NegTarg1,1
179,gpt4-o,Type,1
179,gpt4-o,HeadAcc1,4
179,gpt4-o,LedePres,1
179,gpt4-o,SensLang,3
179,gpt4-o,NegTarg2,['-1']
180,gpt4-o,ArtBias,3
180,gpt4-o,NegTarg2,['-1']
180,gpt4-o,NegTarg1,1
180,gpt4-o,Type,1
180,gpt4-o,SensLang,3
180,gpt4-o,HeadAcc1,4
180,gpt4-o,LedePres,2
181,gpt4-o,SensLang,4
181,gpt4-o,NegTarg1,1
181,gpt4-o,ArtBias,3
181,gpt4-o,LedePres,1
181,gpt4-o,NegTarg2,['-1']
181,gpt4-o,HeadAcc1,4
181,gpt4-o,Type,1
182,gpt4-o,HeadAcc1,3
182,gpt4-o,SensLang,2
182,gpt4-o,Type,1
182,gpt4-o,NegTarg2,['2']
182,gpt4-o,ArtBias,1
182,gpt4-o,LedePres,1
182,gpt4-o,NegTarg1,2
183,gpt4-o,LedePres,2
183,gpt4-o,NegTarg1,1
183,gpt4-o,SensLang,3
183,gpt4-o,ArtBias,3
183,gpt4-o,Type,1
183,gpt4-o,NegTarg2,['4']
183,gpt4-o,HeadAcc1,4
184,gpt4-o,LedePres,1
184,gpt4-o,NegTarg1,1
184,gpt4-o,NegTarg2,['-1']
184,gpt4-o,SensLang,3
184,gpt4-o,ArtBias,3
184,gpt4-o,Type,1
184,gpt4-o,HeadAcc1,4
185,gpt4-o,SensLang,2
185,gpt4-o,ArtBias,1
185,gpt4-o,HeadAcc1,2
185,gpt4-o,LedePres,1
185,gpt4-o,Type,2
185,gpt4-o,NegTarg1,2
185,gpt4-o,NegTarg2,['1']
186,gpt4-o,Type,2
186,gpt4-o,NegTarg2,['1']
186,gpt4-o,LedePres,1
186,gpt4-o,NegTarg1,2
186,gpt4-o,HeadAcc1,3
186,gpt4-o,ArtBias,1
186,gpt4-o,SensLang,2
187,gpt4-o,SensLang,3
187,gpt4-o,NegTarg1,1
187,gpt4-o,ArtBias,3
187,gpt4-o,HeadAcc1,4
187,gpt4-o,NegTarg2,['-1']
187,gpt4-o,Type,1
187,gpt4-o,LedePres,1
188,gpt4-o,ArtBias,3
188,gpt4-o,LedePres,1
188,gpt4-o,NegTarg1,1
188,gpt4-o,NegTarg2,['4']
188,gpt4-o,Type,1
188,gpt4-o,HeadAcc1,4
188,gpt4-o,SensLang,3
189,gpt4-o,Type,1
189,gpt4-o,NegTarg1,2
189,gpt4-o,LedePres,1
189,gpt4-o,NegTarg2,['1']
189,gpt4-o,ArtBias,2
189,gpt4-o,SensLang,2
189,gpt4-o,HeadAcc1,4
190,gpt4-o,NegTarg2,['-1']
190,gpt4-o,LedePres,2
190,gpt4-o,NegTarg1,1
190,gpt4-o,SensLang,4
190,gpt4-o,Type,1
190,gpt4-o,ArtBias,4
190,gpt4-o,HeadAcc1,4
191,gpt4-o,LedePres,2
191,gpt4-o,HeadAcc1,4
191,gpt4-o,NegTarg2,['4']
191,gpt4-o,SensLang,3
191,gpt4-o,Type,1
191,gpt4-o,NegTarg1,1
191,gpt4-o,ArtBias,4
192,gpt4-o,NegTarg2,['1']
192,gpt4-o,NegTarg1,2
192,gpt4-o,SensLang,2
192,gpt4-o,ArtBias,1
192,gpt4-o,LedePres,1
192,gpt4-o,HeadAcc1,3
192,gpt4-o,Type,2
193,gpt4-o,SensLang,4
193,gpt4-o,NegTarg1,1
193,gpt4-o,LedePres,1
193,gpt4-o,HeadAcc1,4
193,gpt4-o,Type,1
193,gpt4-o,ArtBias,3
193,gpt4-o,NegTarg2,['-1']
194,gpt4-o,Type,1
194,gpt4-o,SensLang,2
194,gpt4-o,LedePres,1
194,gpt4-o,HeadAcc1,4
194,gpt4-o,ArtBias,3
194,gpt4-o,NegTarg2,['1']
194,gpt4-o,NegTarg1,2
195,gpt4-o,NegTarg2,['-1']
195,gpt4-o,NegTarg1,1
195,gpt4-o,LedePres,2
195,gpt4-o,ArtBias,4
195,gpt4-o,SensLang,4
195,gpt4-o,Type,1
195,gpt4-o,HeadAcc1,4
196,gpt4-o,SensLang,2
196,gpt4-o,NegTarg2,['2']
196,gpt4-o,NegTarg1,2
196,gpt4-o,Type,3
196,gpt4-o,LedePres,1
196,gpt4-o,HeadAcc1,3
196,gpt4-o,ArtBias,1
197,gpt4-o,NegTarg2,['1']
197,gpt4-o,Type,1
197,gpt4-o,SensLang,3
197,gpt4-o,ArtBias,3
197,gpt4-o,HeadAcc1,4
197,gpt4-o,NegTarg1,2
197,gpt4-o,LedePres,1
198,gpt4-o,HeadAcc1,4
198,gpt4-o,LedePres,1
198,gpt4-o,NegTarg1,2
198,gpt4-o,NegTarg2,['1']
198,gpt4-o,Type,2
198,gpt4-o,SensLang,3
198,gpt4-o,ArtBias,2
199,gpt4-o,LedePres,1
199,gpt4-o,NegTarg1,1
199,gpt4-o,NegTarg2,['-1']
199,gpt4-o,Type,1
199,gpt4-o,HeadAcc1,4
199,gpt4-o,SensLang,2
199,gpt4-o,ArtBias,3
200,gpt4-o,ArtBias,3
200,gpt4-o,NegTarg1,1
200,gpt4-o,LedePres,1
200,gpt4-o,HeadAcc1,4
200,gpt4-o,NegTarg2,['-1']
200,gpt4-o,Type,5
200,gpt4-o,SensLang,3
201,gpt4-o,LedePres,2
201,gpt4-o,NegTarg2,['4']
201,gpt4-o,Type,1
201,gpt4-o,SensLang,3
201,gpt4-o,NegTarg1,1
201,gpt4-o,HeadAcc1,3
201,gpt4-o,ArtBias,3
202,gpt4-o,SensLang,2
202,gpt4-o,ArtBias,3
202,gpt4-o,Type,1
202,gpt4-o,HeadAcc1,3
202,gpt4-o,NegTarg2,['4']
202,gpt4-o,NegTarg1,1
202,gpt4-o,LedePres,1
203,gpt4-o,Type,1
203,gpt4-o,LedePres,1
203,gpt4-o,NegTarg1,1
203,gpt4-o,NegTarg2,"['1', '3']"
203,gpt4-o,HeadAcc1,4
203,gpt4-o,ArtBias,3
203,gpt4-o,SensLang,3
204,gpt4-o,ArtBias,2
204,gpt4-o,Type,1
204,gpt4-o,HeadAcc1,4
204,gpt4-o,NegTarg1,1
204,gpt4-o,LedePres,1
204,gpt4-o,SensLang,2
204,gpt4-o,NegTarg2,['1']
205,gpt4-o,SensLang,3
205,gpt4-o,Type,5
205,gpt4-o,LedePres,1
205,gpt4-o,NegTarg1,1
205,gpt4-o,ArtBias,4
205,gpt4-o,HeadAcc1,3
205,gpt4-o,NegTarg2,['-1']
206,gpt4-o,SensLang,4
206,gpt4-o,HeadAcc1,4
206,gpt4-o,LedePres,2
206,gpt4-o,ArtBias,4
206,gpt4-o,NegTarg1,1
206,gpt4-o,NegTarg2,['-1']
206,gpt4-o,Type,1
207,gpt4-o,HeadAcc1,4
207,gpt4-o,Type,1
207,gpt4-o,NegTarg2,['-1']
207,gpt4-o,NegTarg1,1
207,gpt4-o,SensLang,4
207,gpt4-o,LedePres,1
207,gpt4-o,ArtBias,3
208,gpt4-o,NegTarg1,1
208,gpt4-o,NegTarg2,['4']
208,gpt4-o,LedePres,1
208,gpt4-o,ArtBias,3
208,gpt4-o,SensLang,3
208,gpt4-o,Type,1
208,gpt4-o,HeadAcc1,3
209,gpt4-o,NegTarg2,['1']
209,gpt4-o,ArtBias,2
209,gpt4-o,Type,1
209,gpt4-o,SensLang,2
209,gpt4-o,LedePres,1
209,gpt4-o,HeadAcc1,4
209,gpt4-o,NegTarg1,1
210,gpt4-o,ArtBias,3
210,gpt4-o,SensLang,2
210,gpt4-o,HeadAcc1,3
210,gpt4-o,Type,1
210,gpt4-o,NegTarg2,['1']
210,gpt4-o,LedePres,1
210,gpt4-o,NegTarg1,2
211,gpt4-o,SensLang,4
211,gpt4-o,Type,1
211,gpt4-o,NegTarg2,['-1']
211,gpt4-o,NegTarg1,1
211,gpt4-o,ArtBias,4
211,gpt4-o,LedePres,1
211,gpt4-o,HeadAcc1,4
212,gpt4-o,NegTarg1,1
212,gpt4-o,SensLang,3
212,gpt4-o,NegTarg2,['1']
212,gpt4-o,ArtBias,3
212,gpt4-o,HeadAcc1,4
212,gpt4-o,LedePres,1
212,gpt4-o,Type,1
213,gpt4-o,ArtBias,3
213,gpt4-o,HeadAcc1,3
213,gpt4-o,LedePres,1
213,gpt4-o,Type,5
213,gpt4-o,SensLang,2
213,gpt4-o,NegTarg2,['4']
213,gpt4-o,NegTarg1,1
214,gpt4-o,Type,1
214,gpt4-o,SensLang,2
214,gpt4-o,LedePres,2
214,gpt4-o,ArtBias,3
215,gpt4-o,ArtBias,2
215,gpt4-o,HeadAcc1,3
215,gpt4-o,NegTarg1,1
215,gpt4-o,LedePres,1
215,gpt4-o,NegTarg2,['1']
215,gpt4-o,Type,1
215,gpt4-o,SensLang,3
216,gpt4-o,NegTarg2,['1']
216,gpt4-o,ArtBias,1
216,gpt4-o,Type,1
216,gpt4-o,LedePres,1
216,gpt4-o,NegTarg1,2
216,gpt4-o,SensLang,2
216,gpt4-o,HeadAcc1,3
217,gpt4-o,ArtBias,4
217,gpt4-o,HeadAcc1,4
217,gpt4-o,Type,1
217,gpt4-o,LedePres,2
217,gpt4-o,NegTarg1,1
217,gpt4-o,NegTarg2,['-1']
217,gpt4-o,SensLang,3
218,gpt4-o,NegTarg1,1
218,gpt4-o,LedePres,1
218,gpt4-o,ArtBias,4
218,gpt4-o,SensLang,4
218,gpt4-o,Type,1
218,gpt4-o,HeadAcc1,3
218,gpt4-o,NegTarg2,['-1']
219,gpt4-o,HeadAcc1,3
219,gpt4-o,LedePres,2
219,gpt4-o,NegTarg1,1
219,gpt4-o,SensLang,3
219,gpt4-o,NegTarg2,['-1']
219,gpt4-o,Type,1
219,gpt4-o,ArtBias,3
220,gpt4-o,NegTarg2,['1']
220,gpt4-o,NegTarg1,1
220,gpt4-o,SensLang,3
220,gpt4-o,ArtBias,2
220,gpt4-o,HeadAcc1,4
220,gpt4-o,Type,1
220,gpt4-o,LedePres,1
221,gpt4-o,ArtBias,3
221,gpt4-o,NegTarg2,['1']
221,gpt4-o,SensLang,3
221,gpt4-o,NegTarg1,2
221,gpt4-o,Type,1
221,gpt4-o,LedePres,2
221,gpt4-o,HeadAcc1,4
222,gpt4-o,Type,1
222,gpt4-o,LedePres,2
222,gpt4-o,ArtBias,3
222,gpt4-o,HeadAcc1,3
222,gpt4-o,SensLang,4
222,gpt4-o,NegTarg2,['4']
222,gpt4-o,NegTarg1,1
223,gpt4-o,HeadAcc1,4
223,gpt4-o,Type,1
223,gpt4-o,NegTarg2,['-1']
223,gpt4-o,ArtBias,4
223,gpt4-o,LedePres,2
223,gpt4-o,SensLang,4
223,gpt4-o,NegTarg1,1
224,gpt4-o,Type,1
224,gpt4-o,LedePres,1
224,gpt4-o,NegTarg2,['1']
224,gpt4-o,SensLang,2
224,gpt4-o,NegTarg1,2
224,gpt4-o,HeadAcc1,4
224,gpt4-o,ArtBias,2
225,gpt4-o,ArtBias,4
225,gpt4-o,HeadAcc1,4
225,gpt4-o,SensLang,3
225,gpt4-o,Type,1
225,gpt4-o,NegTarg2,['-1']
225,gpt4-o,NegTarg1,1
225,gpt4-o,LedePres,2
226,gpt4-o,ArtBias,3
226,gpt4-o,SensLang,3
226,gpt4-o,LedePres,1
226,gpt4-o,Type,1
226,gpt4-o,NegTarg2,['3']
226,gpt4-o,HeadAcc1,4
226,gpt4-o,NegTarg1,1
227,gpt4-o,NegTarg1,1
227,gpt4-o,HeadAcc1,4
227,gpt4-o,LedePres,2
227,gpt4-o,NegTarg2,['4']
227,gpt4-o,ArtBias,3
227,gpt4-o,SensLang,3
227,gpt4-o,Type,1
228,gpt4-o,HeadAcc1,3
228,gpt4-o,NegTarg1,1
228,gpt4-o,NegTarg2,['-1']
228,gpt4-o,ArtBias,4
228,gpt4-o,Type,1
228,gpt4-o,SensLang,4
228,gpt4-o,LedePres,1
229,gpt4-o,NegTarg2,['1']
229,gpt4-o,ArtBias,3
229,gpt4-o,NegTarg1,1
229,gpt4-o,Type,1
229,gpt4-o,SensLang,3
229,gpt4-o,LedePres,2
229,gpt4-o,HeadAcc1,3
230,gpt4-o,HeadAcc1,2
230,gpt4-o,NegTarg1,1
230,gpt4-o,NegTarg2,['-1']
230,gpt4-o,LedePres,2
230,gpt4-o,ArtBias,4
230,gpt4-o,Type,1
230,gpt4-o,SensLang,3
231,gpt4-o,LedePres,1
231,gpt4-o,NegTarg1,1
231,gpt4-o,ArtBias,3
231,gpt4-o,Type,2
231,gpt4-o,HeadAcc1,4
231,gpt4-o,SensLang,3
231,gpt4-o,NegTarg2,['1']
232,gpt4-o,NegTarg2,['-1']
232,gpt4-o,LedePres,1
232,gpt4-o,ArtBias,4
232,gpt4-o,NegTarg1,1
232,gpt4-o,SensLang,3
232,gpt4-o,HeadAcc1,4
232,gpt4-o,Type,1
233,gpt4-o,HeadAcc1,2
233,gpt4-o,ArtBias,3
233,gpt4-o,Type,1
233,gpt4-o,NegTarg2,['-1']
233,gpt4-o,SensLang,3
233,gpt4-o,LedePres,1
233,gpt4-o,NegTarg1,1
234,gpt4-o,Type,1
234,gpt4-o,NegTarg1,1
234,gpt4-o,NegTarg2,['-1']
234,gpt4-o,SensLang,3
234,gpt4-o,HeadAcc1,4
234,gpt4-o,ArtBias,3
234,gpt4-o,LedePres,1
235,gpt4-o,NegTarg1,1
235,gpt4-o,HeadAcc1,4
235,gpt4-o,ArtBias,3
235,gpt4-o,LedePres,2
235,gpt4-o,NegTarg2,['3']
235,gpt4-o,SensLang,3
235,gpt4-o,Type,1
236,gpt4-o,LedePres,1
236,gpt4-o,SensLang,3
236,gpt4-o,Type,1
236,gpt4-o,NegTarg2,['-1']
236,gpt4-o,HeadAcc1,4
236,gpt4-o,NegTarg1,1
236,gpt4-o,ArtBias,3
237,gpt4-o,ArtBias,3
237,gpt4-o,HeadAcc1,4
237,gpt4-o,NegTarg1,1
237,gpt4-o,SensLang,3
